emoji,code_points,status,name
🧔🏾‍♀️,1F9D4 1F3FE 200D 2640 FE0F                             ,fully-qualified,"woman: medium-dark skin tone, beard"
🧔🏾‍♀,1F9D4 1F3FE 200D 2640                                  ,minimally-qualified,"woman: medium-dark skin tone, beard"
🧔🏿‍♀️,1F9D4 1F3FF 200D 2640 FE0F                             ,fully-qualified,"woman: dark skin tone, beard"
🧔🏿‍♀,1F9D4 1F3FF 200D 2640                                  ,minimally-qualified,"woman: dark skin tone, beard"
👨‍🦰,1F468 200D 1F9B0                                       ,fully-qualified,man: red hair
👨🏻‍🦰,1F468 1F3FB 200D 1F9B0                                 ,fully-qualified,"man: light skin tone, red hair"
👨🏼‍🦰,1F468 1F3FC 200D 1F9B0                                 ,fully-qualified,"man: medium-light skin tone, red hair"
👨🏽‍🦰,1F468 1F3FD 200D 1F9B0                                 ,fully-qualified,"man: medium skin tone, red hair"
👨🏾‍🦰,1F468 1F3FE 200D 1F9B0                                 ,fully-qualified,"man: medium-dark skin tone, red hair"
👨🏿‍🦰,1F468 1F3FF 200D 1F9B0                                 ,fully-qualified,"man: dark skin tone, red hair"
👨‍🦱,1F468 200D 1F9B1                                       ,fully-qualified,man: curly hair
👨🏻‍🦱,1F468 1F3FB 200D 1F9B1                                 ,fully-qualified,"man: light skin tone, curly hair"
👨🏼‍🦱,1F468 1F3FC 200D 1F9B1                                 ,fully-qualified,"man: medium-light skin tone, curly hair"
👨🏽‍🦱,1F468 1F3FD 200D 1F9B1                                 ,fully-qualified,"man: medium skin tone, curly hair"
👨🏾‍🦱,1F468 1F3FE 200D 1F9B1                                 ,fully-qualified,"man: medium-dark skin tone, curly hair"
👨🏿‍🦱,1F468 1F3FF 200D 1F9B1                                 ,fully-qualified,"man: dark skin tone, curly hair"
👨‍🦳,1F468 200D 1F9B3                                       ,fully-qualified,man: white hair
👨🏻‍🦳,1F468 1F3FB 200D 1F9B3                                 ,fully-qualified,"man: light skin tone, white hair"
👨🏼‍🦳,1F468 1F3FC 200D 1F9B3                                 ,fully-qualified,"man: medium-light skin tone, white hair"
👨🏽‍🦳,1F468 1F3FD 200D 1F9B3                                 ,fully-qualified,"man: medium skin tone, white hair"
👨🏾‍🦳,1F468 1F3FE 200D 1F9B3                                 ,fully-qualified,"man: medium-dark skin tone, white hair"
👨🏿‍🦳,1F468 1F3FF 200D 1F9B3                                 ,fully-qualified,"man: dark skin tone, white hair"
👨‍🦲,1F468 200D 1F9B2                                       ,fully-qualified,man: bald
👨🏻‍🦲,1F468 1F3FB 200D 1F9B2                                 ,fully-qualified,"man: light skin tone, bald"
👨🏼‍🦲,1F468 1F3FC 200D 1F9B2                                 ,fully-qualified,"man: medium-light skin tone, bald"
