emoji,code_points,status,name
🧎🏻‍♀,1F9CE 1F3FB 200D 2640                                  ,minimally-qualified,woman kneeling: light skin tone
🧎🏼‍♀️,1F9CE 1F3FC 200D 2640 FE0F                             ,fully-qualified,woman kneeling: medium-light skin tone
🧎🏼‍♀,1F9CE 1F3FC 200D 2640                                  ,minimally-qualified,woman kneeling: medium-light skin tone
🧎🏽‍♀️,1F9CE 1F3FD 200D 2640 FE0F                             ,fully-qualified,woman kneeling: medium skin tone
🧎🏽‍♀,1F9CE 1F3FD 200D 2640                                  ,minimally-qualified,woman kneeling: medium skin tone
🧎🏾‍♀️,1F9CE 1F3FE 200D 2640 FE0F                             ,fully-qualified,woman kneeling: medium-dark skin tone
🧎🏾‍♀,1F9CE 1F3FE 200D 2640                                  ,minimally-qualified,woman kneeling: medium-dark skin tone
🧎🏿‍♀️,1F9CE 1F3FF 200D 2640 FE0F                             ,fully-qualified,woman kneeling: dark skin tone
🧎🏿‍♀,1F9CE 1F3FF 200D 2640                                  ,minimally-qualified,woman kneeling: dark skin tone
🧎‍➡️,1F9CE 200D 27A1 FE0F                                   ,fully-qualified,person kneeling facing right
🧎‍➡,1F9CE 200D 27A1                                        ,minimally-qualified,person kneeling facing right
🧎🏻‍➡️,1F9CE 1F3FB 200D 27A1 FE0F                             ,fully-qualified,person kneeling facing right: light skin tone
🧎🏻‍➡,1F9CE 1F3FB 200D 27A1                                  ,minimally-qualified,person kneeling facing right: light skin tone
🧎🏼‍➡️,1F9CE 1F3FC 200D 27A1 FE0F                             ,fully-qualified,person kneeling facing right: medium-light skin tone
🧎🏼‍➡,1F9CE 1F3FC 200D 27A1                                  ,minimally-qualified,person kneeling facing right: medium-light skin tone
🧎🏽‍➡️,1F9CE 1F3FD 200D 27A1 FE0F                             ,fully-qualified,person kneeling facing right: medium skin tone
🧎🏽‍➡,1F9CE 1F3FD 200D 27A1                                  ,minimally-qualified,person kneeling facing right: medium skin tone
🧎🏾‍➡️,1F9CE 1F3FE 200D 27A1 FE0F                             ,fully-qualified,person kneeling facing right: medium-dark skin tone
🧎🏾‍➡,1F9CE 1F3FE 200D 27A1                                  ,minimally-qualified,person kneeling facing right: medium-dark skin tone
🧎🏿‍➡️,1F9CE 1F3FF 200D 27A1 FE0F                             ,fully-qualified,person kneeling facing right: dark skin tone
🧎🏿‍➡,1F9CE 1F3FF 200D 27A1                                  ,minimally-qualified,person kneeling facing right: dark skin tone
🧎‍♀️‍➡️,1F9CE 200D 2640 FE0F 200D 27A1 FE0F                    ,fully-qualified,woman kneeling facing right
🧎‍♀‍➡️,1F9CE 200D 2640 200D 27A1 FE0F                         ,minimally-qualified,woman kneeling facing right
🧎‍♀️‍➡,1F9CE 200D 2640 FE0F 200D 27A1                         ,minimally-qualified,woman kneeling facing right
🧎‍♀‍➡,1F9CE 200D 2640 200D 27A1                              ,minimally-qualified,woman kneeling facing right
🧎🏻‍♀️‍➡️,1F9CE 1F3FB 200D 2640 FE0F 200D 27A1 FE0F              ,fully-qualified,woman kneeling facing right: light skin tone
🧎🏻‍♀‍➡️,1F9CE 1F3FB 200D 2640 200D 27A1 FE0F                   ,minimally-qualified,woman kneeling facing right: light skin tone
🧎🏻‍♀️‍➡,1F9CE 1F3FB 200D 2640 FE0F 200D 27A1                   ,minimally-qualified,woman kneeling facing right: light skin tone
🧎🏻‍♀‍➡,1F9CE 1F3FB 200D 2640 200D 27A1                        ,minimally-qualified,woman kneeling facing right: light skin tone
🧎🏼‍♀️‍➡️,1F9CE 1F3FC 200D 2640 FE0F 200D 27A1 FE0F              ,fully-qualified,woman kneeling facing right: medium-light skin tone
🧎🏼‍♀‍➡️,1F9CE 1F3FC 200D 2640 200D 27A1 FE0F                   ,minimally-qualified,woman kneeling facing right: medium-light skin tone
🧎🏼‍♀️‍➡,1F9CE 1F3FC 200D 2640 FE0F 200D 27A1                   ,minimally-qualified,woman kneeling facing right: medium-light skin tone
🧎🏼‍♀‍➡,1F9CE 1F3FC 200D 2640 200D 27A1                        ,minimally-qualified,woman kneeling facing right: medium-light skin tone
🧎🏽‍♀️‍➡️,1F9CE 1F3FD 200D 2640 FE0F 200D 27A1 FE0F              ,fully-qualified,woman kneeling facing right: medium skin tone
🧎🏽‍♀‍➡️,1F9CE 1F3FD 200D 2640 200D 27A1 FE0F                   ,minimally-qualified,woman kneeling facing right: medium skin tone
🧎🏽‍♀️‍➡,1F9CE 1F3FD 200D 2640 FE0F 200D 27A1                   ,minimally-qualified,woman kneeling facing right: medium skin tone
🧎🏽‍♀‍➡,1F9CE 1F3FD 200D 2640 200D 27A1                        ,minimally-qualified,woman kneeling facing right: medium skin tone
🧎🏾‍♀️‍➡️,1F9CE 1F3FE 200D 2640 FE0F 200D 27A1 FE0F              ,fully-qualified,woman kneeling facing right: medium-dark skin tone
🧎🏾‍♀‍➡️,1F9CE 1F3FE 200D 2640 200D 27A1 FE0F                   ,minimally-qualified,woman kneeling facing right: medium-dark skin tone
🧎🏾‍♀️‍➡,1F9CE 1F3FE 200D 2640 FE0F 200D 27A1                   ,minimally-qualified,woman kneeling facing right: medium-dark skin tone
🧎🏾‍♀‍➡,1F9CE 1F3FE 200D 2640 200D 27A1                        ,minimally-qualified,woman kneeling facing right: medium-dark skin tone
🧎🏿‍♀️‍➡️,1F9CE 1F3FF 200D 2640 FE0F 200D 27A1 FE0F              ,fully-qualified,woman kneeling facing right: dark skin tone
🧎🏿‍♀‍➡️,1F9CE 1F3FF 200D 2640 200D 27A1 FE0F                   ,minimally-qualified,woman kneeling facing right: dark skin tone
🧎🏿‍♀️‍➡,1F9CE 1F3FF 200D 2640 FE0F 200D 27A1                   ,minimally-qualified,woman kneeling facing right: dark skin tone
🧎🏿‍♀‍➡,1F9CE 1F3FF 200D 2640 200D 27A1                        ,minimally-qualified,woman kneeling facing right: dark skin tone
🧎‍♂️‍➡️,1F9CE 200D 2642 FE0F 200D 27A1 FE0F                    ,fully-qualified,man kneeling facing right
🧎‍♂‍➡️,1F9CE 200D 2642 200D 27A1 FE0F                         ,minimally-qualified,man kneeling facing right
🧎‍♂️‍➡,1F9CE 200D 2642 FE0F 200D 27A1                         ,minimally-qualified,man kneeling facing right
🧎‍♂‍➡,1F9CE 200D 2642 200D 27A1                              ,minimally-qualified,man kneeling facing right
🧎🏻‍♂️‍➡️,1F9CE 1F3FB 200D 2642 FE0F 200D 27A1 FE0F              ,fully-qualified,man kneeling facing right: light skin tone
🧎🏻‍♂‍➡️,1F9CE 1F3FB 200D 2642 200D 27A1 FE0F                   ,minimally-qualified,man kneeling facing right: light skin tone
🧎🏻‍♂️‍➡,1F9CE 1F3FB 200D 2642 FE0F 200D 27A1                   ,minimally-qualified,man kneeling facing right: light skin tone
🧎🏻‍♂‍➡,1F9CE 1F3FB 200D 2642 200D 27A1                        ,minimally-qualified,man kneeling facing right: light skin tone
🧎🏼‍♂️‍➡️,1F9CE 1F3FC 200D 2642 FE0F 200D 27A1 FE0F              ,fully-qualified,man kneeling facing right: medium-light skin tone
🧎🏼‍♂‍➡️,1F9CE 1F3FC 200D 2642 200D 27A1 FE0F                   ,minimally-qualified,man kneeling facing right: medium-light skin tone
🧎🏼‍♂️‍➡,1F9CE 1F3FC 200D 2642 FE0F 200D 27A1                   ,minimally-qualified,man kneeling facing right: medium-light skin tone
🧎🏼‍♂‍➡,1F9CE 1F3FC 200D 2642 200D 27A1                        ,minimally-qualified,man kneeling facing right: medium-light skin tone
🧎🏽‍♂️‍➡️,1F9CE 1F3FD 200D 2642 FE0F 200D 27A1 FE0F              ,fully-qualified,man kneeling facing right: medium skin tone
🧎🏽‍♂‍➡️,1F9CE 1F3FD 200D 2642 200D 27A1 FE0F                   ,minimally-qualified,man kneeling facing right: medium skin tone
🧎🏽‍♂️‍➡,1F9CE 1F3FD 200D 2642 FE0F 200D 27A1                   ,minimally-qualified,man kneeling facing right: medium skin tone
🧎🏽‍♂‍➡,1F9CE 1F3FD 200D 2642 200D 27A1                        ,minimally-qualified,man kneeling facing right: medium skin tone
🧎🏾‍♂️‍➡️,1F9CE 1F3FE 200D 2642 FE0F 200D 27A1 FE0F              ,fully-qualified,man kneeling facing right: medium-dark skin tone
🧎🏾‍♂‍➡️,1F9CE 1F3FE 200D 2642 200D 27A1 FE0F                   ,minimally-qualified,man kneeling facing right: medium-dark skin tone
🧎🏾‍♂️‍➡,1F9CE 1F3FE 200D 2642 FE0F 200D 27A1                   ,minimally-qualified,man kneeling facing right: medium-dark skin tone
🧎🏾‍♂‍➡,1F9CE 1F3FE 200D 2642 200D 27A1                        ,minimally-qualified,man kneeling facing right: medium-dark skin tone
🧎🏿‍♂️‍➡️,1F9CE 1F3FF 200D 2642 FE0F 200D 27A1 FE0F              ,fully-qualified,man kneeling facing right: dark skin tone
🧎🏿‍♂‍➡️,1F9CE 1F3FF 200D 2642 200D 27A1 FE0F                   ,minimally-qualified,man kneeling facing right: dark skin tone
🧎🏿‍♂️‍➡,1F9CE 1F3FF 200D 2642 FE0F 200D 27A1                   ,minimally-qualified,man kneeling facing right: dark skin tone
🧎🏿‍♂‍➡,1F9CE 1F3FF 200D 2642 200D 27A1                        ,minimally-qualified,man kneeling facing right: dark skin tone
🧑‍🦯,1F9D1 200D 1F9AF                                       ,fully-qualified,person with white cane
🧑🏻‍🦯,1F9D1 1F3FB 200D 1F9AF                                 ,fully-qualified,person with white cane: light skin tone
🧑🏼‍🦯,1F9D1 1F3FC 200D 1F9AF                                 ,fully-qualified,person with white cane: medium-light skin tone
🧑🏽‍🦯,1F9D1 1F3FD 200D 1F9AF                                 ,fully-qualified,person with white cane: medium skin tone
🧑🏾‍🦯,1F9D1 1F3FE 200D 1F9AF                                 ,fully-qualified,person with white cane: medium-dark skin tone
🧑🏿‍🦯,1F9D1 1F3FF 200D 1F9AF                                 ,fully-qualified,person with white cane: dark skin tone
🧑‍🦯‍➡️,1F9D1 200D 1F9AF 200D 27A1 FE0F                        ,fully-qualified,person with white cane facing right
🧑‍🦯‍➡,1F9D1 200D 1F9AF 200D 27A1                             ,minimally-qualified,person with white cane facing right
🧑🏻‍🦯‍➡️,1F9D1 1F3FB 200D 1F9AF 200D 27A1 FE0F                  ,fully-qualified,person with white cane facing right: light skin tone
🧑🏻‍🦯‍➡,1F9D1 1F3FB 200D 1F9AF 200D 27A1                       ,minimally-qualified,person with white cane facing right: light skin tone
🧑🏼‍🦯‍➡️,1F9D1 1F3FC 200D 1F9AF 200D 27A1 FE0F                  ,fully-qualified,person with white cane facing right: medium-light skin tone
🧑🏼‍🦯‍➡,1F9D1 1F3FC 200D 1F9AF 200D 27A1                       ,minimally-qualified,person with white cane facing right: medium-light skin tone
🧑🏽‍🦯‍➡️,1F9D1 1F3FD 200D 1F9AF 200D 27A1 FE0F                  ,fully-qualified,person with white cane facing right: medium skin tone
🧑🏽‍🦯‍➡,1F9D1 1F3FD 200D 1F9AF 200D 27A1                       ,minimally-qualified,person with white cane facing right: medium skin tone
🧑🏾‍🦯‍➡️,1F9D1 1F3FE 200D 1F9AF 200D 27A1 FE0F                  ,fully-qualified,person with white cane facing right: medium-dark skin tone
🧑🏾‍🦯‍➡,1F9D1 1F3FE 200D 1F9AF 200D 27A1                       ,minimally-qualified,person with white cane facing right: medium-dark skin tone
🧑🏿‍🦯‍➡️,1F9D1 1F3FF 200D 1F9AF 200D 27A1 FE0F                  ,fully-qualified,person with white cane facing right: dark skin tone
🧑🏿‍🦯‍➡,1F9D1 1F3FF 200D 1F9AF 200D 27A1                       ,minimally-qualified,person with white cane facing right: dark skin tone
👨‍🦯,1F468 200D 1F9AF                                       ,fully-qualified,man with white cane
👨🏻‍🦯,1F468 1F3FB 200D 1F9AF                                 ,fully-qualified,man with white cane: light skin tone
👨🏼‍🦯,1F468 1F3FC 200D 1F9AF                                 ,fully-qualified,man with white cane: medium-light skin tone
👨🏽‍🦯,1F468 1F3FD 200D 1F9AF                                 ,fully-qualified,man with white cane: medium skin tone
👨🏾‍🦯,1F468 1F3FE 200D 1F9AF                                 ,fully-qualified,man with white cane: medium-dark skin tone
👨🏿‍🦯,1F468 1F3FF 200D 1F9AF                                 ,fully-qualified,man with white cane: dark skin tone
👨‍🦯‍➡️,1F468 200D 1F9AF 200D 27A1 FE0F                        ,fully-qualified,man with white cane facing right
👨‍🦯‍➡,1F468 200D 1F9AF 200D 27A1                             ,minimally-qualified,man with white cane facing right
👨🏻‍🦯‍➡️,1F468 1F3FB 200D 1F9AF 200D 27A1 FE0F                  ,fully-qualified,man with white cane facing right: light skin tone
👨🏻‍🦯‍➡,1F468 1F3FB 200D 1F9AF 200D 27A1                       ,minimally-qualified,man with white cane facing right: light skin tone
👨🏼‍🦯‍➡️,1F468 1F3FC 200D 1F9AF 200D 27A1 FE0F                  ,fully-qualified,man with white cane facing right: medium-light skin tone
👨🏼‍🦯‍➡,1F468 1F3FC 200D 1F9AF 200D 27A1                       ,minimally-qualified,man with white cane facing right: medium-light skin tone
👨🏽‍🦯‍➡️,1F468 1F3FD 200D 1F9AF 200D 27A1 FE0F                  ,fully-qualified,man with white cane facing right: medium skin tone
👨🏽‍🦯‍➡,1F468 1F3FD 200D 1F9AF 200D 27A1                       ,minimally-qualified,man with white cane facing right: medium skin tone
👨🏾‍🦯‍➡️,1F468 1F3FE 200D 1F9AF 200D 27A1 FE0F                  ,fully-qualified,man with white cane facing right: medium-dark skin tone
👨🏾‍🦯‍➡,1F468 1F3FE 200D 1F9AF 200D 27A1                       ,minimally-qualified,man with white cane facing right: medium-dark skin tone
👨🏿‍🦯‍➡️,1F468 1F3FF 200D 1F9AF 200D 27A1 FE0F                  ,fully-qualified,man with white cane facing right: dark skin tone
👨🏿‍🦯‍➡,1F468 1F3FF 200D 1F9AF 200D 27A1                       ,minimally-qualified,man with white cane facing right: dark skin tone
👩‍🦯,1F469 200D 1F9AF                                       ,fully-qualified,woman with white cane
👩🏻‍🦯,1F469 1F3FB 200D 1F9AF                                 ,fully-qualified,woman with white cane: light skin tone
👩🏼‍🦯,1F469 1F3FC 200D 1F9AF                                 ,fully-qualified,woman with white cane: medium-light skin tone
👩🏽‍🦯,1F469 1F3FD 200D 1F9AF                                 ,fully-qualified,woman with white cane: medium skin tone
👩🏾‍🦯,1F469 1F3FE 200D 1F9AF                                 ,fully-qualified,woman with white cane: medium-dark skin tone
👩🏿‍🦯,1F469 1F3FF 200D 1F9AF                                 ,fully-qualified,woman with white cane: dark skin tone
👩‍🦯‍➡️,1F469 200D 1F9AF 200D 27A1 FE0F                        ,fully-qualified,woman with white cane facing right
👩‍🦯‍➡,1F469 200D 1F9AF 200D 27A1                             ,minimally-qualified,woman with white cane facing right
👩🏻‍🦯‍➡️,1F469 1F3FB 200D 1F9AF 200D 27A1 FE0F                  ,fully-qualified,woman with white cane facing right: light skin tone
👩🏻‍🦯‍➡,1F469 1F3FB 200D 1F9AF 200D 27A1                       ,minimally-qualified,woman with white cane facing right: light skin tone
👩🏼‍🦯‍➡️,1F469 1F3FC 200D 1F9AF 200D 27A1 FE0F                  ,fully-qualified,woman with white cane facing right: medium-light skin tone
👩🏼‍🦯‍➡,1F469 1F3FC 200D 1F9AF 200D 27A1                       ,minimally-qualified,woman with white cane facing right: medium-light skin tone
👩🏽‍🦯‍➡️,1F469 1F3FD 200D 1F9AF 200D 27A1 FE0F                  ,fully-qualified,woman with white cane facing right: medium skin tone
👩🏽‍🦯‍➡,1F469 1F3FD 200D 1F9AF 200D 27A1                       ,minimally-qualified,woman with white cane facing right: medium skin tone
👩🏾‍🦯‍➡️,1F469 1F3FE 200D 1F9AF 200D 27A1 FE0F                  ,fully-qualified,woman with white cane facing right: medium-dark skin tone
👩🏾‍🦯‍➡,1F469 1F3FE 200D 1F9AF 200D 27A1                       ,minimally-qualified,woman with white cane facing right: medium-dark skin tone
👩🏿‍🦯‍➡️,1F469 1F3FF 200D 1F9AF 200D 27A1 FE0F                  ,fully-qualified,woman with white cane facing right: dark skin tone
👩🏿‍🦯‍➡,1F469 1F3FF 200D 1F9AF 200D 27A1                       ,minimally-qualified,woman with white cane facing right: dark skin tone
🧑‍🦼,1F9D1 200D 1F9BC                                       ,fully-qualified,person in motorized wheelchair
🧑🏻‍🦼,1F9D1 1F3FB 200D 1F9BC                                 ,fully-qualified,person in motorized wheelchair: light skin tone
🧑🏼‍🦼,1F9D1 1F3FC 200D 1F9BC                                 ,fully-qualified,person in motorized wheelchair: medium-light skin tone
🧑🏽‍🦼,1F9D1 1F3FD 200D 1F9BC                                 ,fully-qualified,person in motorized wheelchair: medium skin tone
🧑🏾‍🦼,1F9D1 1F3FE 200D 1F9BC                                 ,fully-qualified,person in motorized wheelchair: medium-dark skin tone
🧑🏿‍🦼,1F9D1 1F3FF 200D 1F9BC                                 ,fully-qualified,person in motorized wheelchair: dark skin tone
🧑‍🦼‍➡️,1F9D1 200D 1F9BC 200D 27A1 FE0F                        ,fully-qualified,person in motorized wheelchair facing right
🧑‍🦼‍➡,1F9D1 200D 1F9BC 200D 27A1                             ,minimally-qualified,person in motorized wheelchair facing right
🧑🏻‍🦼‍➡️,1F9D1 1F3FB 200D 1F9BC 200D 27A1 FE0F                  ,fully-qualified,person in motorized wheelchair facing right: light skin tone
🧑🏻‍🦼‍➡,1F9D1 1F3FB 200D 1F9BC 200D 27A1                       ,minimally-qualified,person in motorized wheelchair facing right: light skin tone
🧑🏼‍🦼‍➡️,1F9D1 1F3FC 200D 1F9BC 200D 27A1 FE0F                  ,fully-qualified,person in motorized wheelchair facing right: medium-light skin tone
🧑🏼‍🦼‍➡,1F9D1 1F3FC 200D 1F9BC 200D 27A1                       ,minimally-qualified,person in motorized wheelchair facing right: medium-light skin tone
🧑🏽‍🦼‍➡️,1F9D1 1F3FD 200D 1F9BC 200D 27A1 FE0F                  ,fully-qualified,person in motorized wheelchair facing right: medium skin tone
🧑🏽‍🦼‍➡,1F9D1 1F3FD 200D 1F9BC 200D 27A1                       ,minimally-qualified,person in motorized wheelchair facing right: medium skin tone
🧑🏾‍🦼‍➡️,1F9D1 1F3FE 200D 1F9BC 200D 27A1 FE0F                  ,fully-qualified,person in motorized wheelchair facing right: medium-dark skin tone
🧑🏾‍🦼‍➡,1F9D1 1F3FE 200D 1F9BC 200D 27A1                       ,minimally-qualified,person in motorized wheelchair facing right: medium-dark skin tone
🧑🏿‍🦼‍➡️,1F9D1 1F3FF 200D 1F9BC 200D 27A1 FE0F                  ,fully-qualified,person in motorized wheelchair facing right: dark skin tone
🧑🏿‍🦼‍➡,1F9D1 1F3FF 200D 1F9BC 200D 27A1                       ,minimally-qualified,person in motorized wheelchair facing right: dark skin tone
👨‍🦼,1F468 200D 1F9BC                                       ,fully-qualified,man in motorized wheelchair
👨🏻‍🦼,1F468 1F3FB 200D 1F9BC                                 ,fully-qualified,man in motorized wheelchair: light skin tone
👨🏼‍🦼,1F468 1F3FC 200D 1F9BC                                 ,fully-qualified,man in motorized wheelchair: medium-light skin tone
👨🏽‍🦼,1F468 1F3FD 200D 1F9BC                                 ,fully-qualified,man in motorized wheelchair: medium skin tone
👨🏾‍🦼,1F468 1F3FE 200D 1F9BC                                 ,fully-qualified,man in motorized wheelchair: medium-dark skin tone
👨🏿‍🦼,1F468 1F3FF 200D 1F9BC                                 ,fully-qualified,man in motorized wheelchair: dark skin tone
👨‍🦼‍➡️,1F468 200D 1F9BC 200D 27A1 FE0F                        ,fully-qualified,man in motorized wheelchair facing right
👨‍🦼‍➡,1F468 200D 1F9BC 200D 27A1                             ,minimally-qualified,man in motorized wheelchair facing right
👨🏻‍🦼‍➡️,1F468 1F3FB 200D 1F9BC 200D 27A1 FE0F                  ,fully-qualified,man in motorized wheelchair facing right: light skin tone
👨🏻‍🦼‍➡,1F468 1F3FB 200D 1F9BC 200D 27A1                       ,minimally-qualified,man in motorized wheelchair facing right: light skin tone
👨🏼‍🦼‍➡️,1F468 1F3FC 200D 1F9BC 200D 27A1 FE0F                  ,fully-qualified,man in motorized wheelchair facing right: medium-light skin tone
👨🏼‍🦼‍➡,1F468 1F3FC 200D 1F9BC 200D 27A1                       ,minimally-qualified,man in motorized wheelchair facing right: medium-light skin tone
👨🏽‍🦼‍➡️,1F468 1F3FD 200D 1F9BC 200D 27A1 FE0F                  ,fully-qualified,man in motorized wheelchair facing right: medium skin tone
👨🏽‍🦼‍➡,1F468 1F3FD 200D 1F9BC 200D 27A1                       ,minimally-qualified,man in motorized wheelchair facing right: medium skin tone
👨🏾‍🦼‍➡️,1F468 1F3FE 200D 1F9BC 200D 27A1 FE0F                  ,fully-qualified,man in motorized wheelchair facing right: medium-dark skin tone
👨🏾‍🦼‍➡,1F468 1F3FE 200D 1F9BC 200D 27A1                       ,minimally-qualified,man in motorized wheelchair facing right: medium-dark skin tone
👨🏿‍🦼‍➡️,1F468 1F3FF 200D 1F9BC 200D 27A1 FE0F                  ,fully-qualified,man in motorized wheelchair facing right: dark skin tone
👨🏿‍🦼‍➡,1F468 1F3FF 200D 1F9BC 200D 27A1                       ,minimally-qualified,man in motorized wheelchair facing right: dark skin tone
👩‍🦼,1F469 200D 1F9BC                                       ,fully-qualified,woman in motorized wheelchair
👩🏻‍🦼,1F469 1F3FB 200D 1F9BC                                 ,fully-qualified,woman in motorized wheelchair: light skin tone
👩🏼‍🦼,1F469 1F3FC 200D 1F9BC                                 ,fully-qualified,woman in motorized wheelchair: medium-light skin tone
👩🏽‍🦼,1F469 1F3FD 200D 1F9BC                                 ,fully-qualified,woman in motorized wheelchair: medium skin tone
👩🏾‍🦼,1F469 1F3FE 200D 1F9BC                                 ,fully-qualified,woman in motorized wheelchair: medium-dark skin tone
👩🏿‍🦼,1F469 1F3FF 200D 1F9BC                                 ,fully-qualified,woman in motorized wheelchair: dark skin tone
👩‍🦼‍➡️,1F469 200D 1F9BC 200D 27A1 FE0F                        ,fully-qualified,woman in motorized wheelchair facing right
👩‍🦼‍➡,1F469 200D 1F9BC 200D 27A1                             ,minimally-qualified,woman in motorized wheelchair facing right
👩🏻‍🦼‍➡️,1F469 1F3FB 200D 1F9BC 200D 27A1 FE0F                  ,fully-qualified,woman in motorized wheelchair facing right: light skin tone
👩🏻‍🦼‍➡,1F469 1F3FB 200D 1F9BC 200D 27A1                       ,minimally-qualified,woman in motorized wheelchair facing right: light skin tone
👩🏼‍🦼‍➡️,1F469 1F3FC 200D 1F9BC 200D 27A1 FE0F                  ,fully-qualified,woman in motorized wheelchair facing right: medium-light skin tone
👩🏼‍🦼‍➡,1F469 1F3FC 200D 1F9BC 200D 27A1                       ,minimally-qualified,woman in motorized wheelchair facing right: medium-light skin tone
👩🏽‍🦼‍➡️,1F469 1F3FD 200D 1F9BC 200D 27A1 FE0F                  ,fully-qualified,woman in motorized wheelchair facing right: medium skin tone
👩🏽‍🦼‍➡,1F469 1F3FD 200D 1F9BC 200D 27A1                       ,minimally-qualified,woman in motorized wheelchair facing right: medium skin tone
👩🏾‍🦼‍➡️,1F469 1F3FE 200D 1F9BC 200D 27A1 FE0F                  ,fully-qualified,woman in motorized wheelchair facing right: medium-dark skin tone
👩🏾‍🦼‍➡,1F469 1F3FE 200D 1F9BC 200D 27A1                       ,minimally-qualified,woman in motorized wheelchair facing right: medium-dark skin tone
👩🏿‍🦼‍➡️,1F469 1F3FF 200D 1F9BC 200D 27A1 FE0F                  ,fully-qualified,woman in motorized wheelchair facing right: dark skin tone
👩🏿‍🦼‍➡,1F469 1F3FF 200D 1F9BC 200D 27A1                       ,minimally-qualified,woman in motorized wheelchair facing right: dark skin tone
🧑‍🦽,1F9D1 200D 1F9BD                                       ,fully-qualified,person in manual wheelchair
🧑🏻‍🦽,1F9D1 1F3FB 200D 1F9BD                                 ,fully-qualified,person in manual wheelchair: light skin tone
🧑🏼‍🦽,1F9D1 1F3FC 200D 1F9BD                                 ,fully-qualified,person in manual wheelchair: medium-light skin tone
🧑🏽‍🦽,1F9D1 1F3FD 200D 1F9BD                                 ,fully-qualified,person in manual wheelchair: medium skin tone
🧑🏾‍🦽,1F9D1 1F3FE 200D 1F9BD                                 ,fully-qualified,person in manual wheelchair: medium-dark skin tone
🧑🏿‍🦽,1F9D1 1F3FF 200D 1F9BD                                 ,fully-qualified,person in manual wheelchair: dark skin tone
🧑‍🦽‍➡️,1F9D1 200D 1F9BD 200D 27A1 FE0F                        ,fully-qualified,person in manual wheelchair facing right
🧑‍🦽‍➡,1F9D1 200D 1F9BD 200D 27A1                             ,minimally-qualified,person in manual wheelchair facing right
🧑🏻‍🦽‍➡️,1F9D1 1F3FB 200D 1F9BD 200D 27A1 FE0F                  ,fully-qualified,person in manual wheelchair facing right: light skin tone
🧑🏻‍🦽‍➡,1F9D1 1F3FB 200D 1F9BD 200D 27A1                       ,minimally-qualified,person in manual wheelchair facing right: light skin tone
🧑🏼‍🦽‍➡️,1F9D1 1F3FC 200D 1F9BD 200D 27A1 FE0F                  ,fully-qualified,person in manual wheelchair facing right: medium-light skin tone
🧑🏼‍🦽‍➡,1F9D1 1F3FC 200D 1F9BD 200D 27A1                       ,minimally-qualified,person in manual wheelchair facing right: medium-light skin tone
🧑🏽‍🦽‍➡️,1F9D1 1F3FD 200D 1F9BD 200D 27A1 FE0F                  ,fully-qualified,person in manual wheelchair facing right: medium skin tone
🧑🏽‍🦽‍➡,1F9D1 1F3FD 200D 1F9BD 200D 27A1                       ,minimally-qualified,person in manual wheelchair facing right: medium skin tone
🧑🏾‍🦽‍➡️,1F9D1 1F3FE 200D 1F9BD 200D 27A1 FE0F                  ,fully-qualified,person in manual wheelchair facing right: medium-dark skin tone
🧑🏾‍🦽‍➡,1F9D1 1F3FE 200D 1F9BD 200D 27A1                       ,minimally-qualified,person in manual wheelchair facing right: medium-dark skin tone
🧑🏿‍🦽‍➡️,1F9D1 1F3FF 200D 1F9BD 200D 27A1 FE0F                  ,fully-qualified,person in manual wheelchair facing right: dark skin tone
🧑🏿‍🦽‍➡,1F9D1 1F3FF 200D 1F9BD 200D 27A1                       ,minimally-qualified,person in manual wheelchair facing right: dark skin tone
👨‍🦽,1F468 200D 1F9BD                                       ,fully-qualified,man in manual wheelchair
👨🏻‍🦽,1F468 1F3FB 200D 1F9BD                                 ,fully-qualified,man in manual wheelchair: light skin tone
👨🏼‍🦽,1F468 1F3FC 200D 1F9BD                                 ,fully-qualified,man in manual wheelchair: medium-light skin tone
👨🏽‍🦽,1F468 1F3FD 200D 1F9BD                                 ,fully-qualified,man in manual wheelchair: medium skin tone
👨🏾‍🦽,1F468 1F3FE 200D 1F9BD                                 ,fully-qualified,man in manual wheelchair: medium-dark skin tone
👨🏿‍🦽,1F468 1F3FF 200D 1F9BD                                 ,fully-qualified,man in manual wheelchair: dark skin tone
👨‍🦽‍➡️,1F468 200D 1F9BD 200D 27A1 FE0F                        ,fully-qualified,man in manual wheelchair facing right
👨‍🦽‍➡,1F468 200D 1F9BD 200D 27A1                             ,minimally-qualified,man in manual wheelchair facing right
👨🏻‍🦽‍➡️,1F468 1F3FB 200D 1F9BD 200D 27A1 FE0F                  ,fully-qualified,man in manual wheelchair facing right: light skin tone
👨🏻‍🦽‍➡,1F468 1F3FB 200D 1F9BD 200D 27A1                       ,minimally-qualified,man in manual wheelchair facing right: light skin tone
👨🏼‍🦽‍➡️,1F468 1F3FC 200D 1F9BD 200D 27A1 FE0F                  ,fully-qualified,man in manual wheelchair facing right: medium-light skin tone
👨🏼‍🦽‍➡,1F468 1F3FC 200D 1F9BD 200D 27A1                       ,minimally-qualified,man in manual wheelchair facing right: medium-light skin tone
👨🏽‍🦽‍➡️,1F468 1F3FD 200D 1F9BD 200D 27A1 FE0F                  ,fully-qualified,man in manual wheelchair facing right: medium skin tone
