emoji,code_points,description
⛹🏿‍♂️,26F9 1F3FF 200D 2642 FE0F                              ,man bouncing ball: dark skin tone
⛺,26FA          ,tent
⛽,26FD          ,fuel pump
✂,2702                                                   ,scissors
✂️,2702 FE0F     ,scissors
✅,2705          ,check mark button
✈,2708                                                   ,airplane
✈️,2708 FE0F     ,airplane
✉,2709                                                   ,envelope
✉️,2709 FE0F     ,envelope
✊,270A                                                   ,raised fist
✊🏻,270A 1F3FB    ,raised fist: light skin tone
✊🏼,270A 1F3FC    ,raised fist: medium-light skin tone
✊🏽,270A 1F3FD    ,raised fist: medium skin tone
✊🏾,270A 1F3FE    ,raised fist: medium-dark skin tone
✊🏿,270A 1F3FF    ,raised fist: dark skin tone
✋,270B                                                   ,raised hand
✋🏻,270B 1F3FB    ,raised hand: light skin tone
✋🏼,270B 1F3FC    ,raised hand: medium-light skin tone
✋🏽,270B 1F3FD    ,raised hand: medium skin tone
✋🏾,270B 1F3FE    ,raised hand: medium-dark skin tone
✋🏿,270B 1F3FF    ,raised hand: dark skin tone
✌,270C                                                   ,victory hand
✌️,270C FE0F     ,victory hand
✌🏻,270C 1F3FB    ,victory hand: light skin tone
✌🏼,270C 1F3FC    ,victory hand: medium-light skin tone
✌🏽,270C 1F3FD    ,victory hand: medium skin tone
✌🏾,270C 1F3FE    ,victory hand: medium-dark skin tone
✌🏿,270C 1F3FF    ,victory hand: dark skin tone
✍,270D                                                   ,writing hand
✍️,270D FE0F     ,writing hand
✍🏻,270D 1F3FB    ,writing hand: light skin tone
✍🏼,270D 1F3FC    ,writing hand: medium-light skin tone
✍🏽,270D 1F3FD    ,writing hand: medium skin tone
✍🏾,270D 1F3FE    ,writing hand: medium-dark skin tone
✍🏿,270D 1F3FF    ,writing hand: dark skin tone
✏,270F                                                   ,pencil
✏️,270F FE0F     ,pencil
✒,2712                                                   ,black nib
✒️,2712 FE0F     ,black nib
✔,2714                                                   ,check mark
✔️,2714 FE0F     ,check mark
✖,2716                                                   ,multiply
✖️,2716 FE0F     ,multiply
✝,271D                                                   ,latin cross
✝️,271D FE0F     ,latin cross
✡,2721                                                   ,star of David
✡️,2721 FE0F     ,star of David
✨,2728          ,sparkles
✳,2733                                                   ,eight-spoked asterisk
✳️,2733 FE0F     ,eight-spoked asterisk
✴,2734                                                   ,eight-pointed star
✴️,2734 FE0F     ,eight-pointed star
❄,2744                                                   ,snowflake
❄️,2744 FE0F     ,snowflake
❇,2747                                                   ,sparkle
❇️,2747 FE0F     ,sparkle
❌,274C          ,cross mark
❎,274E          ,cross mark button
❓,2753                                                   ,red question mark
❔,2754                                                   ,white question mark
❕,2755                                                   ,white exclamation mark
❗,2757          ,red exclamation mark
❣,2763                                                   ,heart exclamation
❣️,2763 FE0F     ,heart exclamation
❤,2764                                                   ,red heart
❤‍🔥,2764 200D 1F525                                        ,heart on fire
❤‍🩹,2764 200D 1FA79                                        ,mending heart
❤️,2764 FE0F     ,red heart
❤️‍🔥,2764 FE0F 200D 1F525                                   ,heart on fire
❤️‍🩹,2764 FE0F 200D 1FA79                                   ,mending heart
➕,2795                                                   ,plus
➖,2796                                                   ,minus
➗,2797                                                   ,divide
➡,27A1                                                   ,right arrow
➡️,27A1 FE0F     ,right arrow
➰,27B0          ,curly loop
➿,27BF          ,double curly loop
⤴,2934                                                   ,right arrow curving up
⤴️,2934 FE0F     ,right arrow curving up
⤵,2935                                                   ,right arrow curving down
⤵️,2935 FE0F     ,right arrow curving down
⬅,2B05                                                   ,left arrow
⬅️,2B05 FE0F     ,left arrow
⬆,2B06                                                   ,up arrow
⬆️,2B06 FE0F     ,up arrow
⬇,2B07                                                   ,down arrow
⬇️,2B07 FE0F     ,down arrow
⬛,2B1B                                                   ,black large square
⬜,2B1C                                                   ,white large square
⭐,2B50          ,star
⭕,2B55          ,hollow red circle
〰,3030                                                   ,wavy dash
〰️,3030 FE0F     ,wavy dash
〽,303D                                                   ,part alternation mark
〽️,303D FE0F     ,part alternation mark
㊗,3297                                                   ,Japanese “congratulations” button
㊗️,3297 FE0F     ,Japanese “congratulations” button
㊙,3299                                                   ,Japanese “secret” button
㊙️,3299 FE0F     ,Japanese “secret” button
🀄,1F004         ,mahjong red dragon
🃏,1F0CF         ,joker
🅰,1F170                                                  ,A button (blood type)
🅰️,1F170 FE0F    ,A button (blood type)
🅱,1F171                                                  ,B button (blood type)
🅱️,1F171 FE0F    ,B button (blood type)
🅾,1F17E                                                  ,O button (blood type)
🅾️,1F17E FE0F    ,O button (blood type)
🅿,1F17F                                                  ,P button
🅿️,1F17F FE0F    ,P button
🆎,1F18E         ,AB button (blood type)
🆑,1F191                                                  ,CL button
🆒,1F192                                                  ,COOL button
🆓,1F193                                                  ,FREE button
🆔,1F194                                                  ,ID button
🆕,1F195                                                  ,NEW button
🆖,1F196                                                  ,NG button
🆗,1F197                                                  ,OK button
🆘,1F198                                                  ,SOS button
🆙,1F199                                                  ,UP! button
🆚,1F19A                                                  ,VS button
🇦🇨,1F1E6 1F1E8   ,flag: Ascension Island
🇦🇩,1F1E6 1F1E9   ,flag: Andorra
🇦🇪,1F1E6 1F1EA   ,flag: United Arab Emirates
🇦🇫,1F1E6 1F1EB   ,flag: Afghanistan
🇦🇬,1F1E6 1F1EC   ,flag: Antigua & Barbuda
🇦🇮,1F1E6 1F1EE   ,flag: Anguilla
🇦🇱,1F1E6 1F1F1   ,flag: Albania
🇦🇲,1F1E6 1F1F2   ,flag: Armenia
🇦🇴,1F1E6 1F1F4   ,flag: Angola
🇦🇶,1F1E6 1F1F6   ,flag: Antarctica
🇦🇷,1F1E6 1F1F7   ,flag: Argentina
🇦🇸,1F1E6 1F1F8   ,flag: American Samoa
🇦🇹,1F1E6 1F1F9   ,flag: Austria
🇦🇺,1F1E6 1F1FA   ,flag: Australia
🇦🇼,1F1E6 1F1FC   ,flag: Aruba
🇦🇽,1F1E6 1F1FD   ,flag: Åland Islands
🇦🇿,1F1E6 1F1FF   ,flag: Azerbaijan
🇧🇦,1F1E7 1F1E6   ,flag: Bosnia & Herzegovina
🇧🇧,1F1E7 1F1E7   ,flag: Barbados
🇧🇩,1F1E7 1F1E9   ,flag: Bangladesh
🇧🇪,1F1E7 1F1EA   ,flag: Belgium
🇧🇫,1F1E7 1F1EB   ,flag: Burkina Faso
🇧🇬,1F1E7 1F1EC   ,flag: Bulgaria
🇧🇭,1F1E7 1F1ED   ,flag: Bahrain
🇧🇮,1F1E7 1F1EE   ,flag: Burundi
🇧🇯,1F1E7 1F1EF   ,flag: Benin
🇧🇱,1F1E7 1F1F1   ,flag: St. Barthélemy
🇧🇲,1F1E7 1F1F2   ,flag: Bermuda
🇧🇳,1F1E7 1F1F3   ,flag: Brunei
🇧🇴,1F1E7 1F1F4   ,flag: Bolivia
🇧🇶,1F1E7 1F1F6   ,flag: Caribbean Netherlands
🇧🇷,1F1E7 1F1F7   ,flag: Brazil
🇧🇸,1F1E7 1F1F8   ,flag: Bahamas
🇧🇹,1F1E7 1F1F9   ,flag: Bhutan
🇧🇻,1F1E7 1F1FB   ,flag: Bouvet Island
🇧🇼,1F1E7 1F1FC   ,flag: Botswana
🇧🇾,1F1E7 1F1FE   ,flag: Belarus
🇧🇿,1F1E7 1F1FF   ,flag: Belize
🇨🇦,1F1E8 1F1E6   ,flag: Canada
🇨🇨,1F1E8 1F1E8   ,flag: Cocos (Keeling) Islands
🇨🇩,1F1E8 1F1E9   ,flag: Congo - Kinshasa
🇨🇫,1F1E8 1F1EB   ,flag: Central African Republic
🇨🇬,1F1E8 1F1EC   ,flag: Congo - Brazzaville
🇨🇭,1F1E8 1F1ED   ,flag: Switzerland
🇨🇮,1F1E8 1F1EE   ,flag: Côte d’Ivoire
🇨🇰,1F1E8 1F1F0   ,flag: Cook Islands
🇨🇱,1F1E8 1F1F1   ,flag: Chile
🇨🇲,1F1E8 1F1F2   ,flag: Cameroon
🇨🇳,1F1E8 1F1F3   ,flag: China
🇨🇴,1F1E8 1F1F4   ,flag: Colombia
🇨🇵,1F1E8 1F1F5   ,flag: Clipperton Island
🇨🇶,1F1E8 1F1F6   ,flag: Sark
🇨🇷,1F1E8 1F1F7   ,flag: Costa Rica
🇨🇺,1F1E8 1F1FA   ,flag: Cuba
🇨🇻,1F1E8 1F1FB   ,flag: Cape Verde
🇨🇼,1F1E8 1F1FC   ,flag: Curaçao
🇨🇽,1F1E8 1F1FD   ,flag: Christmas Island
🇨🇾,1F1E8 1F1FE   ,flag: Cyprus
🇨🇿,1F1E8 1F1FF   ,flag: Czechia
🇩🇪,1F1E9 1F1EA   ,flag: Germany
🇩🇬,1F1E9 1F1EC   ,flag: Diego Garcia
🇩🇯,1F1E9 1F1EF   ,flag: Djibouti
🇩🇰,1F1E9 1F1F0   ,flag: Denmark
🇩🇲,1F1E9 1F1F2   ,flag: Dominica
🇩🇴,1F1E9 1F1F4   ,flag: Dominican Republic
🇩🇿,1F1E9 1F1FF   ,flag: Algeria
🇪🇦,1F1EA 1F1E6   ,flag: Ceuta & Melilla
🇪🇨,1F1EA 1F1E8   ,flag: Ecuador
🇪🇪,1F1EA 1F1EA   ,flag: Estonia
🇪🇬,1F1EA 1F1EC   ,flag: Egypt
🇪🇭,1F1EA 1F1ED   ,flag: Western Sahara
🇪🇷,1F1EA 1F1F7   ,flag: Eritrea
🇪🇸,1F1EA 1F1F8   ,flag: Spain
🇪🇹,1F1EA 1F1F9   ,flag: Ethiopia
🇪🇺,1F1EA 1F1FA   ,flag: European Union
🇫🇮,1F1EB 1F1EE   ,flag: Finland
🇫🇯,1F1EB 1F1EF   ,flag: Fiji
🇫🇰,1F1EB 1F1F0   ,flag: Falkland Islands
🇫🇲,1F1EB 1F1F2   ,flag: Micronesia
🇫🇴,1F1EB 1F1F4   ,flag: Faroe Islands
🇫🇷,1F1EB 1F1F7   ,flag: France
🇬🇦,1F1EC 1F1E6   ,flag: Gabon
🇬🇧,1F1EC 1F1E7   ,flag: United Kingdom
🇬🇩,1F1EC 1F1E9   ,flag: Grenada
🇬🇪,1F1EC 1F1EA   ,flag: Georgia
🇬🇫,1F1EC 1F1EB   ,flag: French Guiana
🇬🇬,1F1EC 1F1EC   ,flag: Guernsey
🇬🇭,1F1EC 1F1ED   ,flag: Ghana
🇬🇮,1F1EC 1F1EE   ,flag: Gibraltar
🇬🇱,1F1EC 1F1F1   ,flag: Greenland
🇬🇲,1F1EC 1F1F2   ,flag: Gambia
🇬🇳,1F1EC 1F1F3   ,flag: Guinea
🇬🇵,1F1EC 1F1F5   ,flag: Guadeloupe
🇬🇶,1F1EC 1F1F6   ,flag: Equatorial Guinea
🇬🇷,1F1EC 1F1F7   ,flag: Greece
🇬🇸,1F1EC 1F1F8   ,flag: South Georgia & South Sandwich Islands
🇬🇹,1F1EC 1F1F9   ,flag: Guatemala
🇬🇺,1F1EC 1F1FA   ,flag: Guam
🇬🇼,1F1EC 1F1FC   ,flag: Guinea-Bissau
🇬🇾,1F1EC 1F1FE   ,flag: Guyana
🇭🇰,1F1ED 1F1F0   ,flag: Hong Kong SAR China
🇭🇲,1F1ED 1F1F2   ,flag: Heard & McDonald Islands
🇭🇳,1F1ED 1F1F3   ,flag: Honduras
🇭🇷,1F1ED 1F1F7   ,flag: Croatia
🇭🇹,1F1ED 1F1F9   ,flag: Haiti
🇭🇺,1F1ED 1F1FA   ,flag: Hungary
🇮🇨,1F1EE 1F1E8   ,flag: Canary Islands
🇮🇩,1F1EE 1F1E9   ,flag: Indonesia
🇮🇪,1F1EE 1F1EA   ,flag: Ireland
🇮🇱,1F1EE 1F1F1   ,flag: Israel
🇮🇲,1F1EE 1F1F2   ,flag: Isle of Man
🇮🇳,1F1EE 1F1F3   ,flag: India
🇮🇴,1F1EE 1F1F4   ,flag: British Indian Ocean Territory
🇮🇶,1F1EE 1F1F6   ,flag: Iraq
🇮🇷,1F1EE 1F1F7   ,flag: Iran
🇮🇸,1F1EE 1F1F8   ,flag: Iceland
🇮🇹,1F1EE 1F1F9   ,flag: Italy
🇯🇪,1F1EF 1F1EA   ,flag: Jersey
🇯🇲,1F1EF 1F1F2   ,flag: Jamaica
🇯🇴,1F1EF 1F1F4   ,flag: Jordan
🇯🇵,1F1EF 1F1F5   ,flag: Japan
🇰🇪,1F1F0 1F1EA   ,flag: Kenya
🇰🇬,1F1F0 1F1EC   ,flag: Kyrgyzstan
🇰🇭,1F1F0 1F1ED   ,flag: Cambodia
🇰🇮,1F1F0 1F1EE   ,flag: Kiribati
🇰🇲,1F1F0 1F1F2   ,flag: Comoros
🇰🇳,1F1F0 1F1F3   ,flag: St. Kitts & Nevis
🇰🇵,1F1F0 1F1F5   ,flag: North Korea
🇰🇷,1F1F0 1F1F7   ,flag: South Korea
🇰🇼,1F1F0 1F1FC   ,flag: Kuwait
🇰🇾,1F1F0 1F1FE   ,flag: Cayman Islands
🇰🇿,1F1F0 1F1FF   ,flag: Kazakhstan
🇱🇦,1F1F1 1F1E6   ,flag: Laos
🇱🇧,1F1F1 1F1E7   ,flag: Lebanon
🇱🇨,1F1F1 1F1E8   ,flag: St. Lucia
🇱🇮,1F1F1 1F1EE   ,flag: Liechtenstein
🇱🇰,1F1F1 1F1F0   ,flag: Sri Lanka
🇱🇷,1F1F1 1F1F7   ,flag: Liberia
🇱🇸,1F1F1 1F1F8   ,flag: Lesotho
🇱🇹,1F1F1 1F1F9   ,flag: Lithuania
🇱🇺,1F1F1 1F1FA   ,flag: Luxembourg
🇱🇻,1F1F1 1F1FB   ,flag: Latvia
🇱🇾,1F1F1 1F1FE   ,flag: Libya
🇲🇦,1F1F2 1F1E6   ,flag: Morocco
🇲🇨,1F1F2 1F1E8   ,flag: Monaco
🇲🇩,1F1F2 1F1E9   ,flag: Moldova
🇲🇪,1F1F2 1F1EA   ,flag: Montenegro
🇲🇫,1F1F2 1F1EB   ,flag: St. Martin
🇲🇬,1F1F2 1F1EC   ,flag: Madagascar
🇲🇭,1F1F2 1F1ED   ,flag: Marshall Islands
🇲🇰,1F1F2 1F1F0   ,flag: North Macedonia
🇲🇱,1F1F2 1F1F1   ,flag: Mali
🇲🇲,1F1F2 1F1F2   ,flag: Myanmar (Burma)
🇲🇳,1F1F2 1F1F3   ,flag: Mongolia
🇲🇴,1F1F2 1F1F4   ,flag: Macao SAR China
🇲🇵,1F1F2 1F1F5   ,flag: Northern Mariana Islands
🇲🇶,1F1F2 1F1F6   ,flag: Martinique
🇲🇷,1F1F2 1F1F7   ,flag: Mauritania
🇲🇸,1F1F2 1F1F8   ,flag: Montserrat
🇲🇹,1F1F2 1F1F9   ,flag: Malta
🇲🇺,1F1F2 1F1FA   ,flag: Mauritius
🇲🇻,1F1F2 1F1FB   ,flag: Maldives
🇲🇼,1F1F2 1F1FC   ,flag: Malawi
🇲🇽,1F1F2 1F1FD   ,flag: Mexico
🇲🇾,1F1F2 1F1FE   ,flag: Malaysia
🇲🇿,1F1F2 1F1FF   ,flag: Mozambique
🇳🇦,1F1F3 1F1E6   ,flag: Namibia
🇳🇨,1F1F3 1F1E8   ,flag: New Caledonia
🇳🇪,1F1F3 1F1EA   ,flag: Niger
🇳🇫,1F1F3 1F1EB   ,flag: Norfolk Island
🇳🇬,1F1F3 1F1EC   ,flag: Nigeria
🇳🇮,1F1F3 1F1EE   ,flag: Nicaragua
🇳🇱,1F1F3 1F1F1   ,flag: Netherlands
🇳🇴,1F1F3 1F1F4   ,flag: Norway
🇳🇵,1F1F3 1F1F5   ,flag: Nepal
🇳🇷,1F1F3 1F1F7   ,flag: Nauru
🇳🇺,1F1F3 1F1FA   ,flag: Niue
🇳🇿,1F1F3 1F1FF   ,flag: New Zealand
🇴🇲,1F1F4 1F1F2   ,flag: Oman
🇵🇦,1F1F5 1F1E6   ,flag: Panama
🇵🇪,1F1F5 1F1EA   ,flag: Peru
🇵🇫,1F1F5 1F1EB   ,flag: French Polynesia
🇵🇬,1F1F5 1F1EC   ,flag: Papua New Guinea
